City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
284,Tabas,IR,33.5959,56.9244,44.13,29,0,3.31,clear sky
285,Wajir,KE,1.7471,40.0573,77.56,50,40,15.21,scattered clouds
286,Labuhan,ID,-6.8844,112.2051,77.88,87,100,8.1,overcast clouds
287,Staryy Nadym,RU,65.6118,72.6842,-4.29,99,100,8.19,overcast clouds
288,Danane,CI,7.2596,-8.155,70.39,27,58,2.64,broken clouds
289,Moindou,NC,-21.6924,165.677,84.15,73,100,7.45,overcast clouds
290,Biltine,TD,14.5333,20.9167,62.74,16,0,9.06,clear sky
291,Bonavista,CA,48.6499,-53.1147,38.12,72,89,35.03,overcast clouds
292,Provideniya,RU,64.3833,-173.3,10.51,72,0,15.66,clear sky
293,Fairbanks,US,64.8378,-147.7164,-7.4,75,0,0.0,clear sky
294,Misawa,JP,40.6836,141.3597,21.6,71,85,15.46,overcast clouds
295,Boden,SE,65.8252,21.6886,-0.4,95,14,4.72,few clouds
296,Toppenish,US,46.3774,-120.3087,34.86,65,100,2.57,overcast clouds
297,Digby,CA,44.6169,-65.7655,23.59,78,100,15.35,overcast clouds
298,Aurillac,FR,44.9167,2.45,35.85,100,0,3.44,clear sky
299,Tura,IN,25.5198,90.2201,51.48,59,2,3.18,clear sky
300,Spornoye,RU,50.8448,37.2913,30.22,96,100,12.73,light snow
301,Gigmoto,PH,13.7796,124.39,77.22,89,47,9.91,light rain
302,Ostrovnoy,RU,68.0531,39.5131,8.6,97,95,8.48,overcast clouds
303,Griffith,US,41.5284,-87.4237,30.13,75,100,1.01,overcast clouds
304,Torbay,CA,47.6666,-52.7314,38.39,82,75,25.32,broken clouds
305,Chapais,CA,49.7834,-74.8492,-2.42,92,100,8.03,overcast clouds
306,Bilibino,RU,68.0546,166.4372,-12.73,96,79,4.99,broken clouds
307,Gander,CA,48.9682,-54.5906,32.16,75,69,23.0,broken clouds
308,Sola,VU,-13.8833,167.55,83.07,84,75,4.61,broken clouds
309,Senneterre,CA,48.3835,-77.2328,3.09,93,100,5.46,overcast clouds
310,Marsa Matruh,EG,31.3525,27.2453,55.8,76,64,13.53,broken clouds
311,San Cristobal,VE,7.7669,-72.225,68.18,83,96,3.67,overcast clouds
312,Sao Felix Do Xingu,BR,-6.6447,-51.995,69.89,96,100,0.87,light rain
313,Bourail,NC,-21.5667,165.4833,81.39,74,100,6.29,overcast clouds
314,Oranjemund,NA,-28.55,16.4333,66.06,88,82,9.1,broken clouds
315,Udachnyy,RU,66.4167,112.4,-30.01,100,83,2.73,broken clouds
316,Terrace,CA,54.5163,-128.6035,38.43,94,95,3.51,light rain
317,Caravelas,BR,-17.7125,-39.2481,79.59,84,19,11.36,few clouds
318,Kuala Lipis,MY,4.1842,102.0468,71.38,98,82,0.22,broken clouds
